what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448265843362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448265845853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448265865370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448265971529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448265996108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448266004194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448266021578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448266030406
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448266036725
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448266058317
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.copy.qualified.name",1448266084075
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448266085911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448266088677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448266095122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448266102619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448266135909
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448266137675
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448266138874
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448266142815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448266149138
