what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448256524542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448256528777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448256544600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448256630893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448256674619
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448256686511
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1448256694839
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448256696988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1448256720688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448256726292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1448256749987
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448256772253
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448256795774
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448256799860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448256807573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448256881523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1448256883772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1448257005953
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448257011338
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448257031046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448257040350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448257064161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448257064300
